season_id,orchard_id,harvest_year,station_id,window_name,window_start,window_end,expected_days,observed_days,date_coverage_ratio,tmean_c_coverage_ratio,tmean_c_mean,tmin_c_coverage_ratio,tmin_c_mean,tmax_c_coverage_ratio,tmax_c_mean,precip_mm_coverage_ratio,precip_mm_mean,precip_mm_sum,relative_humidity_pct_coverage_ratio,relative_humidity_pct_mean,sunshine_h_coverage_ratio,sunshine_h_mean,wind_speed_coverage_ratio,wind_speed_mean,feature_status
hongming_2022,hongming,2022,haikou_region_proxy,floral_induction,2021-10-01,2022-01-31,123,123,1,1,21.90569106,1,19.8203252,1,25.30569106,1,8.365853659,1029,1,84.15203252,0.7479674797,NA,0,NA,complete
hongming_2022,hongming,2022,haikou_region_proxy,flowering,2022-02-01,2022-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2022,hongming,2022,haikou_region_proxy,fruit_set_drop,2022-03-01,2022-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2022,hongming,2022,haikou_region_proxy,fruit_growth,2022-04-01,2022-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2023,hongming,2023,haikou_region_proxy,floral_induction,2022-10-01,2023-01-31,123,123,1,1,21.16666667,1,19.05853659,1,24.52926829,1,5.956910569,732.7,1,83.74227642,0.7479674797,NA,0,NA,complete
hongming_2023,hongming,2023,haikou_region_proxy,flowering,2023-02-01,2023-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2023,hongming,2023,haikou_region_proxy,fruit_set_drop,2023-03-01,2023-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2023,hongming,2023,haikou_region_proxy,fruit_growth,2023-04-01,2023-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2024,hongming,2024,haikou_region_proxy,floral_induction,2023-10-01,2024-01-31,123,123,1,1,22.48455285,1,20.38861789,1,26.20569106,1,5.734146341,705.3,1,86.13577236,1,2.892682927,0,NA,complete
hongming_2024,hongming,2024,haikou_region_proxy,flowering,2024-02-01,2024-03-31,60,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2024,hongming,2024,haikou_region_proxy,fruit_set_drop,2024-03-01,2024-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2024,hongming,2024,haikou_region_proxy,fruit_growth,2024-04-01,2024-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2025,hongming,2025,haikou_region_proxy,floral_induction,2024-10-01,2025-01-31,123,123,1,1,21.64227642,1,19.56341463,1,25.08861789,1,6.554471545,806.2,1,76.32276423,0.9918699187,NA,0,NA,complete
hongming_2025,hongming,2025,haikou_region_proxy,flowering,2025-02-01,2025-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2025,hongming,2025,haikou_region_proxy,fruit_set_drop,2025-03-01,2025-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2025,hongming,2025,haikou_region_proxy,fruit_growth,2025-04-01,2025-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2026,hongming,2026,haikou_region_proxy,floral_induction,2025-10-01,2026-01-31,123,123,1,1,22.09837398,1,20.10487805,1,25.54227642,1,4.395121951,540.6,1,81.28861789,1,3.708943089,0,NA,complete
hongming_2026,hongming,2026,haikou_region_proxy,flowering,2026-02-01,2026-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2026,hongming,2026,haikou_region_proxy,fruit_set_drop,2026-03-01,2026-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
hongming_2026,hongming,2026,haikou_region_proxy,fruit_growth,2026-04-01,2026-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2022,luhong,2022,lingshui_region_proxy,floral_induction,2021-10-01,2022-01-31,123,123,1,1,22.55528455,1,19.68211382,1,27.69186992,0.9837398374,NA,NA,1,82.07317073,0.7479674797,NA,0,NA,blocked_missing_weather
luhong_2022,luhong,2022,lingshui_region_proxy,flowering,2022-02-01,2022-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2022,luhong,2022,lingshui_region_proxy,fruit_set_drop,2022-03-01,2022-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2022,luhong,2022,lingshui_region_proxy,fruit_growth,2022-04-01,2022-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2023,luhong,2023,lingshui_region_proxy,floral_induction,2022-10-01,2023-01-31,123,123,1,0.7398373984,NA,0.7398373984,NA,0.7398373984,NA,0.9918699187,NA,NA,0.9918699187,NA,0.7479674797,NA,0,NA,blocked_missing_weather
luhong_2023,luhong,2023,lingshui_region_proxy,flowering,2023-02-01,2023-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2023,luhong,2023,lingshui_region_proxy,fruit_set_drop,2023-03-01,2023-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2023,luhong,2023,lingshui_region_proxy,fruit_growth,2023-04-01,2023-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2024,luhong,2024,lingshui_region_proxy,floral_induction,2023-10-01,2024-01-31,123,123,1,1,22.80731707,1,20.03902439,1,27.69105691,1,3.968292683,488.1,1,84.58536585,1,4.739837398,0,NA,complete
luhong_2024,luhong,2024,lingshui_region_proxy,flowering,2024-02-01,2024-03-31,60,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2024,luhong,2024,lingshui_region_proxy,fruit_set_drop,2024-03-01,2024-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2024,luhong,2024,lingshui_region_proxy,fruit_growth,2024-04-01,2024-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2025,luhong,2025,lingshui_region_proxy,floral_induction,2024-10-01,2025-01-31,123,123,1,1,22.25691057,1,19.20243902,1,27.09837398,1,5.961788618,733.3,1,76.75609756,1,4.989430894,0,NA,complete
luhong_2025,luhong,2025,lingshui_region_proxy,flowering,2025-02-01,2025-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2025,luhong,2025,lingshui_region_proxy,fruit_set_drop,2025-03-01,2025-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2025,luhong,2025,lingshui_region_proxy,fruit_growth,2025-04-01,2025-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2026,luhong,2026,lingshui_region_proxy,floral_induction,2025-10-01,2026-01-31,123,123,1,1,22.67804878,1,19.81382114,1,27.44634146,1,4.863414634,598.2,1,72.59430894,0.9349593496,NA,0,NA,complete
luhong_2026,luhong,2026,lingshui_region_proxy,flowering,2026-02-01,2026-03-31,59,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2026,luhong,2026,lingshui_region_proxy,fruit_set_drop,2026-03-01,2026-04-30,61,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
luhong_2026,luhong,2026,lingshui_region_proxy,fruit_growth,2026-04-01,2026-06-30,91,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,blocked_missing_weather
