season_id,window_type,boundary,window_date,observed_date,boundary_error_days
hongming_2022,W1-MEDIAN,flowering_end,2022-03-11,2022-03-02,9
hongming_2022,W1-MEDIAN,fruit_development_start,2022-03-11,2022-03-02,9
hongming_2022,W1-MEDIAN,fruit_development_end,2022-05-16,2022-05-10,6
luhong_2022,W1-MEDIAN,induction_start,2021-09-01,2021-08-28,4
luhong_2022,W1-MEDIAN,induction_end,2022-01-10,2022-01-03,7
luhong_2022,W1-MEDIAN,flowering_start,2022-01-10,2022-01-03,7
luhong_2022,W1-MEDIAN,flowering_end,2022-02-15,2022-02-15,0
luhong_2022,W1-MEDIAN,fruit_development_start,2022-02-15,2022-02-15,0
luhong_2022,W1-MEDIAN,fruit_development_end,2022-05-06,2022-04-25,11
bannei_2022,W2-OBS,induction_start,2021-09-25,2021-09-25,0
bannei_2022,W2-OBS,induction_end,2022-01-20,2022-01-20,0
bannei_2022,W2-OBS,flowering_start,2022-01-20,2022-01-20,0
bannei_2022,W2-OBS,flowering_end,2022-03-10,2022-03-10,0
bannei_2022,W2-OBS,fruit_development_start,2022-03-10,2022-03-10,0
bannei_2022,W2-OBS,fruit_development_end,2022-05-20,2022-05-20,0
hongming_2022,W2-OBS,induction_start,2021-09-10,2021-09-10,0
hongming_2022,W2-OBS,induction_end,2022-01-05,2022-01-05,0
hongming_2022,W2-OBS,flowering_start,2022-01-05,2022-01-05,0
hongming_2022,W2-OBS,flowering_end,2022-03-02,2022-03-02,0
hongming_2022,W2-OBS,fruit_development_start,2022-03-02,2022-03-02,0
hongming_2022,W2-OBS,fruit_development_end,2022-05-10,2022-05-10,0
luhong_2022,W2-OBS,induction_start,2021-08-28,2021-08-28,0
luhong_2022,W2-OBS,induction_end,2022-01-03,2022-01-03,0
luhong_2022,W2-OBS,flowering_start,2022-01-03,2022-01-03,0
luhong_2022,W2-OBS,flowering_end,2022-02-15,2022-02-15,0
luhong_2022,W2-OBS,fruit_development_start,2022-02-15,2022-02-15,0
luhong_2022,W2-OBS,fruit_development_end,2022-04-25,2022-04-25,0
bannei_2022,W3-PRED,induction_start,2021-09-25,2021-09-25,0
bannei_2022,W3-PRED,induction_end,2022-01-12,2022-01-20,-8
bannei_2022,W3-PRED,flowering_start,2022-01-12,2022-01-20,-8
bannei_2022,W3-PRED,flowering_end,2022-03-05,2022-03-10,-5
bannei_2022,W3-PRED,fruit_development_start,2022-03-05,2022-03-10,-5
bannei_2022,W3-PRED,fruit_development_end,2022-05-15,2022-05-20,-5
hongming_2022,W3-PRED,induction_start,2021-09-10,2021-09-10,0
hongming_2022,W3-PRED,induction_end,2022-01-11,2022-01-05,6
hongming_2022,W3-PRED,flowering_start,2022-01-11,2022-01-05,6
hongming_2022,W3-PRED,flowering_end,2022-03-08,2022-03-02,6
hongming_2022,W3-PRED,fruit_development_start,2022-03-08,2022-03-02,6
hongming_2022,W3-PRED,fruit_development_end,2022-05-20,2022-05-10,10
luhong_2022,W3-PRED,induction_start,2021-08-28,2021-08-28,0
luhong_2022,W3-PRED,induction_end,2021-12-27,2022-01-03,-7
luhong_2022,W3-PRED,flowering_start,2021-12-27,2022-01-03,-7
luhong_2022,W3-PRED,flowering_end,2022-01-30,2022-02-15,-16
luhong_2022,W3-PRED,fruit_development_start,2022-01-30,2022-02-15,-16
luhong_2022,W3-PRED,fruit_development_end,2022-04-28,2022-04-25,3
bannei_2023,W1-CALENDAR,induction_start,2022-09-01,2022-09-25,-24
bannei_2023,W1-CALENDAR,induction_end,2023-01-31,2023-01-20,11
bannei_2023,W1-CALENDAR,flowering_start,2023-01-01,2023-01-20,-19
bannei_2023,W1-CALENDAR,flowering_end,2023-03-31,2023-03-10,21
bannei_2023,W1-CALENDAR,fruit_development_start,2023-03-01,2023-03-10,-9
bannei_2023,W1-CALENDAR,fruit_development_end,2023-05-31,2023-05-22,9
hongming_2023,W1-CALENDAR,induction_start,2022-09-01,2022-09-20,-19
hongming_2023,W1-CALENDAR,induction_end,2023-01-31,2023-01-15,16
hongming_2023,W1-CALENDAR,flowering_start,2023-01-01,2023-01-15,-14
hongming_2023,W1-CALENDAR,flowering_end,2023-03-31,2023-03-10,21
hongming_2023,W1-CALENDAR,fruit_development_start,2023-03-01,2023-03-10,-9
hongming_2023,W1-CALENDAR,fruit_development_end,2023-05-31,2023-05-18,13
luhong_2023,W1-CALENDAR,induction_start,2022-09-01,2022-08-28,4
luhong_2023,W1-CALENDAR,induction_end,2023-01-31,2023-01-03,28
luhong_2023,W1-CALENDAR,flowering_start,2023-01-01,2023-01-03,-2
luhong_2023,W1-CALENDAR,flowering_end,2023-03-31,2023-02-15,44
luhong_2023,W1-CALENDAR,fruit_development_start,2023-03-01,2023-02-15,14
luhong_2023,W1-CALENDAR,fruit_development_end,2023-05-31,2023-05-05,26
bannei_2023,W1-MEDIAN,induction_start,2022-09-25,2022-09-25,0
bannei_2023,W1-MEDIAN,induction_end,2023-01-20,2023-01-20,0
bannei_2023,W1-MEDIAN,flowering_start,2023-01-20,2023-01-20,0
bannei_2023,W1-MEDIAN,flowering_end,2023-03-10,2023-03-10,0
bannei_2023,W1-MEDIAN,fruit_development_start,2023-03-10,2023-03-10,0
bannei_2023,W1-MEDIAN,fruit_development_end,2023-05-14,2023-05-22,-8
hongming_2023,W1-MEDIAN,induction_start,2022-09-15,2022-09-20,-5
hongming_2023,W1-MEDIAN,induction_end,2023-01-15,2023-01-15,0
hongming_2023,W1-MEDIAN,flowering_start,2023-01-15,2023-01-15,0
hongming_2023,W1-MEDIAN,flowering_end,2023-03-07,2023-03-10,-3
hongming_2023,W1-MEDIAN,fruit_development_start,2023-03-07,2023-03-10,-3
hongming_2023,W1-MEDIAN,fruit_development_end,2023-05-12,2023-05-18,-6
luhong_2023,W1-MEDIAN,induction_start,2022-09-01,2022-08-28,4
luhong_2023,W1-MEDIAN,induction_end,2023-01-10,2023-01-03,7
luhong_2023,W1-MEDIAN,flowering_start,2023-01-10,2023-01-03,7
luhong_2023,W1-MEDIAN,flowering_end,2023-02-15,2023-02-15,0
luhong_2023,W1-MEDIAN,fruit_development_start,2023-02-15,2023-02-15,0
luhong_2023,W1-MEDIAN,fruit_development_end,2023-05-06,2023-05-05,1
bannei_2023,W2-OBS,induction_start,2022-09-25,2022-09-25,0
bannei_2023,W2-OBS,induction_end,2023-01-20,2023-01-20,0
bannei_2023,W2-OBS,flowering_start,2023-01-20,2023-01-20,0
bannei_2023,W2-OBS,flowering_end,2023-03-10,2023-03-10,0
bannei_2023,W2-OBS,fruit_development_start,2023-03-10,2023-03-10,0
bannei_2023,W2-OBS,fruit_development_end,2023-05-22,2023-05-22,0
hongming_2023,W2-OBS,induction_start,2022-09-20,2022-09-20,0
hongming_2023,W2-OBS,induction_end,2023-01-15,2023-01-15,0
hongming_2023,W2-OBS,flowering_start,2023-01-15,2023-01-15,0
hongming_2023,W2-OBS,flowering_end,2023-03-10,2023-03-10,0
hongming_2023,W2-OBS,fruit_development_start,2023-03-10,2023-03-10,0
hongming_2023,W2-OBS,fruit_development_end,2023-05-18,2023-05-18,0
luhong_2023,W2-OBS,induction_start,2022-08-28,2022-08-28,0
luhong_2023,W2-OBS,induction_end,2023-01-03,2023-01-03,0
luhong_2023,W2-OBS,flowering_start,2023-01-03,2023-01-03,0
luhong_2023,W2-OBS,flowering_end,2023-02-15,2023-02-15,0
luhong_2023,W2-OBS,fruit_development_start,2023-02-15,2023-02-15,0
luhong_2023,W2-OBS,fruit_development_end,2023-05-05,2023-05-05,0
bannei_2023,W3-PRED,induction_start,2022-09-25,2022-09-25,0
bannei_2023,W3-PRED,induction_end,2023-01-16,2023-01-20,-4
bannei_2023,W3-PRED,flowering_start,2023-01-16,2023-01-20,-4
bannei_2023,W3-PRED,flowering_end,2023-03-08,2023-03-10,-2
bannei_2023,W3-PRED,fruit_development_start,2023-03-08,2023-03-10,-2
bannei_2023,W3-PRED,fruit_development_end,2023-05-14,2023-05-22,-8
hongming_2023,W3-PRED,induction_start,2022-09-20,2022-09-20,0
hongming_2023,W3-PRED,induction_end,2023-01-03,2023-01-15,-12
hongming_2023,W3-PRED,flowering_start,2023-01-03,2023-01-15,-12
hongming_2023,W3-PRED,flowering_end,2023-02-24,2023-03-10,-14
hongming_2023,W3-PRED,fruit_development_start,2023-02-24,2023-03-10,-14
hongming_2023,W3-PRED,fruit_development_end,2023-05-01,2023-05-18,-17
luhong_2023,W3-PRED,induction_start,2022-08-28,2022-08-28,0
luhong_2023,W3-PRED,induction_end,2022-12-30,2023-01-03,-4
luhong_2023,W3-PRED,flowering_start,2022-12-30,2023-01-03,-4
luhong_2023,W3-PRED,flowering_end,2023-02-09,2023-02-15,-6
luhong_2023,W3-PRED,fruit_development_start,2023-02-09,2023-02-15,-6
luhong_2023,W3-PRED,fruit_development_end,2023-04-30,2023-05-05,-5
bannei_2024,W1-CALENDAR,induction_start,2023-09-01,2023-09-25,-24
bannei_2024,W1-CALENDAR,induction_end,2024-01-31,2024-02-01,-1
bannei_2024,W1-CALENDAR,flowering_start,2024-01-01,2024-02-01,-31
bannei_2024,W1-CALENDAR,flowering_end,2024-03-31,2024-03-17,14
bannei_2024,W1-CALENDAR,fruit_development_start,2024-03-01,2024-03-17,-16
bannei_2024,W1-CALENDAR,fruit_development_end,2024-05-31,2024-05-13,18
hongming_2024,W1-CALENDAR,induction_start,2023-09-01,2023-09-20,-19
hongming_2024,W1-CALENDAR,induction_end,2024-01-31,2024-01-25,6
hongming_2024,W1-CALENDAR,flowering_start,2024-01-01,2024-01-25,-24
hongming_2024,W1-CALENDAR,flowering_end,2024-03-31,2024-03-10,21
hongming_2024,W1-CALENDAR,fruit_development_start,2024-03-01,2024-03-10,-9
hongming_2024,W1-CALENDAR,fruit_development_end,2024-05-31,2024-05-12,19
luhong_2024,W1-CALENDAR,induction_start,2023-09-01,2023-09-05,-4
luhong_2024,W1-CALENDAR,induction_end,2024-01-31,2024-01-16,15
luhong_2024,W1-CALENDAR,flowering_start,2024-01-01,2024-01-16,-15
luhong_2024,W1-CALENDAR,flowering_end,2024-03-31,2024-02-15,45
luhong_2024,W1-CALENDAR,fruit_development_start,2024-03-01,2024-02-15,15
luhong_2024,W1-CALENDAR,fruit_development_end,2024-05-31,2024-05-05,26
bannei_2024,W1-MEDIAN,induction_start,2023-09-25,2023-09-25,0
bannei_2024,W1-MEDIAN,induction_end,2024-01-20,2024-02-01,-12
bannei_2024,W1-MEDIAN,flowering_start,2024-01-20,2024-02-01,-12
bannei_2024,W1-MEDIAN,flowering_end,2024-03-09,2024-03-17,-8
bannei_2024,W1-MEDIAN,fruit_development_start,2024-03-09,2024-03-17,-8
bannei_2024,W1-MEDIAN,fruit_development_end,2024-05-19,2024-05-13,6
hongming_2024,W1-MEDIAN,induction_start,2023-09-15,2023-09-20,-5
hongming_2024,W1-MEDIAN,induction_end,2024-01-10,2024-01-25,-15
hongming_2024,W1-MEDIAN,flowering_start,2024-01-10,2024-01-25,-15
hongming_2024,W1-MEDIAN,flowering_end,2024-03-05,2024-03-10,-5
hongming_2024,W1-MEDIAN,fruit_development_start,2024-03-05,2024-03-10,-5
hongming_2024,W1-MEDIAN,fruit_development_end,2024-05-13,2024-05-12,1
luhong_2024,W1-MEDIAN,induction_start,2023-08-28,2023-09-05,-8
luhong_2024,W1-MEDIAN,induction_end,2024-01-03,2024-01-16,-13
luhong_2024,W1-MEDIAN,flowering_start,2024-01-03,2024-01-16,-13
luhong_2024,W1-MEDIAN,flowering_end,2024-02-15,2024-02-15,0
luhong_2024,W1-MEDIAN,fruit_development_start,2024-02-15,2024-02-15,0
luhong_2024,W1-MEDIAN,fruit_development_end,2024-05-04,2024-05-05,-1
bannei_2024,W2-OBS,induction_start,2023-09-25,2023-09-25,0
bannei_2024,W2-OBS,induction_end,2024-02-01,2024-02-01,0
bannei_2024,W2-OBS,flowering_start,2024-02-01,2024-02-01,0
bannei_2024,W2-OBS,flowering_end,2024-03-17,2024-03-17,0
bannei_2024,W2-OBS,fruit_development_start,2024-03-17,2024-03-17,0
bannei_2024,W2-OBS,fruit_development_end,2024-05-13,2024-05-13,0
hongming_2024,W2-OBS,induction_start,2023-09-20,2023-09-20,0
hongming_2024,W2-OBS,induction_end,2024-01-25,2024-01-25,0
hongming_2024,W2-OBS,flowering_start,2024-01-25,2024-01-25,0
hongming_2024,W2-OBS,flowering_end,2024-03-10,2024-03-10,0
hongming_2024,W2-OBS,fruit_development_start,2024-03-10,2024-03-10,0
hongming_2024,W2-OBS,fruit_development_end,2024-05-12,2024-05-12,0
luhong_2024,W2-OBS,induction_start,2023-09-05,2023-09-05,0
luhong_2024,W2-OBS,induction_end,2024-01-16,2024-01-16,0
luhong_2024,W2-OBS,flowering_start,2024-01-16,2024-01-16,0
luhong_2024,W2-OBS,flowering_end,2024-02-15,2024-02-15,0
luhong_2024,W2-OBS,fruit_development_start,2024-02-15,2024-02-15,0
luhong_2024,W2-OBS,fruit_development_end,2024-05-05,2024-05-05,0
bannei_2024,W3-PRED,induction_start,2023-09-25,2023-09-25,0
bannei_2024,W3-PRED,induction_end,2024-01-20,2024-02-01,-12
bannei_2024,W3-PRED,flowering_start,2024-01-20,2024-02-01,-12
bannei_2024,W3-PRED,flowering_end,2024-03-06,2024-03-17,-11
bannei_2024,W3-PRED,fruit_development_start,2024-03-06,2024-03-17,-11
bannei_2024,W3-PRED,fruit_development_end,2024-05-16,2024-05-13,3
hongming_2024,W3-PRED,induction_start,2023-09-20,2023-09-20,0
hongming_2024,W3-PRED,induction_end,2024-01-15,2024-01-25,-10
hongming_2024,W3-PRED,flowering_start,2024-01-15,2024-01-25,-10
hongming_2024,W3-PRED,flowering_end,2024-03-07,2024-03-10,-3
hongming_2024,W3-PRED,fruit_development_start,2024-03-07,2024-03-10,-3
hongming_2024,W3-PRED,fruit_development_end,2024-05-15,2024-05-12,3
luhong_2024,W3-PRED,induction_start,2023-09-05,2023-09-05,0
luhong_2024,W3-PRED,induction_end,2024-01-12,2024-01-16,-4
luhong_2024,W3-PRED,flowering_start,2024-01-12,2024-01-16,-4
luhong_2024,W3-PRED,flowering_end,2024-02-23,2024-02-15,8
luhong_2024,W3-PRED,fruit_development_start,2024-02-23,2024-02-15,8
luhong_2024,W3-PRED,fruit_development_end,2024-05-12,2024-05-05,7
luhong_2025,W1-CALENDAR,induction_start,2024-09-01,2024-09-05,-4
luhong_2025,W1-CALENDAR,induction_end,2025-01-31,2025-01-16,15
luhong_2025,W1-CALENDAR,flowering_start,2025-01-01,2025-01-16,-15
luhong_2025,W1-CALENDAR,flowering_end,2025-03-31,2025-02-15,44
luhong_2025,W1-CALENDAR,fruit_development_start,2025-03-01,2025-02-15,14
luhong_2025,W1-CALENDAR,fruit_development_end,2025-05-31,2025-05-05,26
luhong_2025,W1-MEDIAN,induction_start,2024-08-28,2024-09-05,-8
luhong_2025,W1-MEDIAN,induction_end,2025-01-03,2025-01-16,-13
luhong_2025,W1-MEDIAN,flowering_start,2025-01-03,2025-01-16,-13
luhong_2025,W1-MEDIAN,flowering_end,2025-02-15,2025-02-15,0
luhong_2025,W1-MEDIAN,fruit_development_start,2025-02-15,2025-02-15,0
luhong_2025,W1-MEDIAN,fruit_development_end,2025-05-06,2025-05-05,1
luhong_2025,W2-OBS,induction_start,2024-09-05,2024-09-05,0
luhong_2025,W2-OBS,induction_end,2025-01-16,2025-01-16,0
luhong_2025,W2-OBS,flowering_start,2025-01-16,2025-01-16,0
luhong_2025,W2-OBS,flowering_end,2025-02-15,2025-02-15,0
luhong_2025,W2-OBS,fruit_development_start,2025-02-15,2025-02-15,0
luhong_2025,W2-OBS,fruit_development_end,2025-05-05,2025-05-05,0
luhong_2025,W3-PRED,induction_start,2024-09-05,2024-09-05,0
luhong_2025,W3-PRED,induction_end,2025-01-12,2025-01-16,-4
luhong_2025,W3-PRED,flowering_start,2025-01-12,2025-01-16,-4
luhong_2025,W3-PRED,flowering_end,2025-03-01,2025-02-15,14
luhong_2025,W3-PRED,fruit_development_start,2025-03-01,2025-02-15,14
luhong_2025,W3-PRED,fruit_development_end,2025-05-20,2025-05-05,15
bannei_2026,W1-CALENDAR,induction_start,2025-09-01,2025-09-25,-24
bannei_2026,W1-CALENDAR,induction_end,2026-01-31,2026-01-10,21
bannei_2026,W1-CALENDAR,flowering_start,2026-01-01,2026-01-10,-9
bannei_2026,W1-CALENDAR,flowering_end,2026-03-31,2026-02-24,35
bannei_2026,W1-CALENDAR,fruit_development_start,2026-03-01,2026-02-24,5
bannei_2026,W1-CALENDAR,fruit_development_end,2026-05-31,2026-05-02,29
luhong_2026,W1-CALENDAR,induction_start,2025-09-01,2025-08-25,7
luhong_2026,W1-CALENDAR,induction_end,2026-01-31,2026-01-01,30
luhong_2026,W1-CALENDAR,flowering_start,2026-01-01,2026-01-01,0
luhong_2026,W1-CALENDAR,flowering_end,2026-03-31,2026-02-15,44
luhong_2026,W1-CALENDAR,fruit_development_start,2026-03-01,2026-02-15,14
luhong_2026,W1-CALENDAR,fruit_development_end,2026-05-31,2026-05-10,21
bannei_2026,W1-MEDIAN,induction_start,2025-09-25,2025-09-25,0
bannei_2026,W1-MEDIAN,induction_end,2026-01-20,2026-01-10,10
bannei_2026,W1-MEDIAN,flowering_start,2026-01-20,2026-01-10,10
bannei_2026,W1-MEDIAN,flowering_end,2026-03-10,2026-02-24,14
bannei_2026,W1-MEDIAN,fruit_development_start,2026-03-10,2026-02-24,14
bannei_2026,W1-MEDIAN,fruit_development_end,2026-05-20,2026-05-02,18
luhong_2026,W1-MEDIAN,induction_start,2025-09-01,2025-08-25,7
luhong_2026,W1-MEDIAN,induction_end,2026-01-10,2026-01-01,9
luhong_2026,W1-MEDIAN,flowering_start,2026-01-10,2026-01-01,9
luhong_2026,W1-MEDIAN,flowering_end,2026-02-15,2026-02-15,0
luhong_2026,W1-MEDIAN,fruit_development_start,2026-02-15,2026-02-15,0
luhong_2026,W1-MEDIAN,fruit_development_end,2026-05-05,2026-05-10,-5
bannei_2026,W2-OBS,induction_start,2025-09-25,2025-09-25,0
bannei_2026,W2-OBS,induction_end,2026-01-10,2026-01-10,0
bannei_2026,W2-OBS,flowering_start,2026-01-10,2026-01-10,0
bannei_2026,W2-OBS,flowering_end,2026-02-24,2026-02-24,0
bannei_2026,W2-OBS,fruit_development_start,2026-02-24,2026-02-24,0
bannei_2026,W2-OBS,fruit_development_end,2026-05-02,2026-05-02,0
luhong_2026,W2-OBS,induction_start,2025-08-25,2025-08-25,0
luhong_2026,W2-OBS,induction_end,2026-01-01,2026-01-01,0
luhong_2026,W2-OBS,flowering_start,2026-01-01,2026-01-01,0
luhong_2026,W2-OBS,flowering_end,2026-02-15,2026-02-15,0
luhong_2026,W2-OBS,fruit_development_start,2026-02-15,2026-02-15,0
luhong_2026,W2-OBS,fruit_development_end,2026-05-10,2026-05-10,0
bannei_2026,W3-PRED,induction_start,2025-09-25,2025-09-25,0
bannei_2026,W3-PRED,induction_end,2026-01-19,2026-01-10,9
bannei_2026,W3-PRED,flowering_start,2026-01-19,2026-01-10,9
bannei_2026,W3-PRED,flowering_end,2026-03-05,2026-02-24,9
bannei_2026,W3-PRED,fruit_development_start,2026-03-05,2026-02-24,9
bannei_2026,W3-PRED,fruit_development_end,2026-05-12,2026-05-02,10
luhong_2026,W3-PRED,induction_start,2025-08-25,2025-08-25,0
luhong_2026,W3-PRED,induction_end,2026-01-11,2026-01-01,10
luhong_2026,W3-PRED,flowering_start,2026-01-11,2026-01-01,10
luhong_2026,W3-PRED,flowering_end,2026-02-17,2026-02-15,2
luhong_2026,W3-PRED,fruit_development_start,2026-02-17,2026-02-15,2
luhong_2026,W3-PRED,fruit_development_end,2026-05-04,2026-05-10,-6
