source_file,table_index,row,column,text
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,7,6×8
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,8,陈会华
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,3,9,"N 19° 41' 54.98""
E 110° 34' 49.95"""
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,1,"永发果园
CARS-33-46-03"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,2,25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,3,1995年
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,4,"2013间伐
每年回缩修剪"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,5,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,6,550
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,7,4×6
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,8,洪世聪
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,4,9,"N 19° 45' 30.91""
E 110° 12' 13.96"""
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,1,"龙元果园
CARS-33-46-04"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,2,200
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,3,2002年
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,4,"2019重回缩
隔年采取开天窗"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,5,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,6,7400
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,7,4×4.5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,8,黄龙腾
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,5,9,"N 19° 27′ 11.83""
E 110° 19' 42.84"""
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,1,"世武果园
CARS-33-46-05"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,2,30
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,3,2001年
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,4,每年回缩修剪
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,5,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,6,990
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,7,4×5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,8,李世武
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,6,9,"N 19° 10' 27.53""
E 110° 26' 54.70"""
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,1,"鲁宏果园
CARS-33-46-06"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,2,300
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,3,1999年
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,4,"2012间伐
隔年采取开天窗"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,5,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,6,5000
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,7,5×8
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,8,周军峰
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,1,7,9,"N18° 36' 34.77""
E109° 56' 32.26"""
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,1,示范果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,2,果园坡度（°）
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,3,土壤类型
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,4,灌溉方式
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,5,年份
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,6,"株产
（公斤）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,7,"售价
（元/公斤）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,8,成花率（%）
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,1,9,"收益
（万元）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,1,办内果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,2,0～5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,3,红壤土
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,4,微喷灌
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,5,2022
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,6,30.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,7,12.6
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,2,9,90.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,3,5,2023
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,3,6,32.15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,3,7,9.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,3,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,3,9,40.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,4,5,2024
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,4,6,21.78
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,4,7,12.2
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,4,8,90
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,4,9,35.15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,5,5,2025
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,5,6,0
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,5,7,0
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,5,8,60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,5,9,-15.76
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,6,5,2026
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,6,6,37.88
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,6,7,11.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,6,8,90
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,6,9,62.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,1,红明农场
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,2,15～30
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,3,红壤土
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,4,管道淋灌
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,5,2022
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,6,65.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,7,16.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,7,9,38.20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,8,5,2023
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,8,6,52.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,8,7,12.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,8,8,98
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,8,9,16.80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,9,5,2024
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,9,6,7.71
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,9,7,16.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,9,8,20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,9,9,-20.50
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,10,5,2025
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,10,6,32.15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,10,7,10.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,10,8,50
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,10,9,-7.50
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,11,5,2026
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,11,6,41.67
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,11,7,11.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,11,8,80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,11,9,14.35
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,1,永发果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,2,0～5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,3,红壤土
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,4,微喷灌
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,5,2022
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,6,28.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,7,11.80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,12,9,5.80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,13,5,2023
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,13,6,35.25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,13,7,9.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,13,8,99
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,13,9,7.50
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,14,5,2024
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,14,6,22.36
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,14,7,10.20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,14,8,75
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,14,9,3.93
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,15,5,2025
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,15,6,22.16
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,15,7,9.30
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,15,8,80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,15,9,-2.86
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,16,5,2026
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,16,6,18.52
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,16,7,
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,16,8,70
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,16,9,
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,1,龙元果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,2,0
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,3,红壤土
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,4,喷灌
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,5,2022
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,6,24.30
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,7,11.20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,17,9,49.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,18,5,2023
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,18,6,32.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,18,7,10.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,18,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,18,9,53.33
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,19,5,2024
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,19,6,20.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,19,7,12.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,19,8,95
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,19,9,85.56
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,20,5,2025
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,20,6,27.16
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,20,7,9.40
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,20,8,95
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,20,9,96.36
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,21,5,2026
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,21,6,25.30
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,21,7,9.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,21,8,95
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,21,9,90.10
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,1,世武果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,2,0～5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,3,砂壤土
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,4,喷灌
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,5,2022
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,6,32.20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,7,15.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,22,9,39.87
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,23,5,2023
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,23,6,27.08
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,23,7,16.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,23,8,100
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,23,9,25.11
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,24,5,2024
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,24,6,30.55
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,24,7,18.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,24,8,90
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,24,9,48.71
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,25,5,2025
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,25,6,36.57
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,25,7,20.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,25,8,95
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,25,9,50.25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,26,5,2026
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,26,6,35.86
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,26,7,11.2
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,26,8,95
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,26,9,18.15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,1,鲁宏果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,2,10～15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,3,砂壤土
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,4,喷灌
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,5,2022
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,6,50.80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,7,20.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,8,95
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,27,9,276.16
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,28,5,2023
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,28,6,47.06
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,28,7,23.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,28,8,98
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,28,9,216.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,29,5,2024
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,29,6,61.73
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,29,7,30.40
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,29,8,85
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,29,9,287.91
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,30,5,2025
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,30,6,70.93
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,30,7,20.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,30,8,98
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,30,9,356.00
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,31,5,2026
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,31,6,61.11
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,31,7,10.60
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,31,8,80
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,2,31,9,-61.76
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,1,示范园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,2,品种
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,3,面积（株）
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,4,秋梢老熟期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,5,露白点期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,6,抽穗期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,7,初花期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,8,盛花期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,9,谢花期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,10,初始坐果期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,11,第1次生理落果期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,12,第2次生理落果期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,13,采前落果期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,14,果实着色期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,1,15,果实成熟期
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,1,办内果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,2,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,3,"80
（4000）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,4,9-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,5,12-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,6,1-10
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,7,2-12
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,8,2-24
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,9,3-1
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,10,3-5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,11,3-18
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,12,4-15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,13,——
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,14,4-22
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,2,15,5-2
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,1,红明农场
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,2,白糖罂
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,3,"70
（970）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,4,9-20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,5,1-5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,6,1-28
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,7,2-20
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,8,2-28
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,9,3-5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,10,3-8
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,11,3-18
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,12,4-18
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,13,——
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,14,5-1
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,3,15,5-6
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,1,永发果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,2,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,3,"25
（550）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,4,10-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,5,1-5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,6,1-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,7,2-15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,8,2-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,9,3-5
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,10,3-16
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,11,3-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,12,4-3
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,13,——
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,14,4-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,4,15,5-2
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,1,龙元果园
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,2,妃子笑
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,3,"200
（7400）"
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,4,8-25
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,5,12-15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,6,1-1
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,7,2-1
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,8,2-15
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,9,2-28
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,10,2-22
2026年荔枝龙眼产业技术体系示范园-海口站（20260825）.doc,3,5,11,2-25
