harvest_year,station_id,variable,calendar_month,valid_days,expected_days,coverage_ratio
2023,haikou_region_proxy,tmean_c,2022-12,31,31,1
2023,haikou_region_proxy,tmean_c,2023-01,31,31,1
2023,haikou_region_proxy,tmean_c,2023-02,0,28,0
2023,haikou_region_proxy,tmean_c,2023-03,0,31,0
2023,haikou_region_proxy,tmean_c,2023-04,0,30,0
2023,haikou_region_proxy,tmean_c,2023-05,0,31,0
2023,haikou_region_proxy,tmean_c,2023-06,0,30,0
2023,haikou_region_proxy,precip_mm,2022-08,0,31,0
2023,haikou_region_proxy,precip_mm,2022-09,0,30,0
2023,haikou_region_proxy,precip_mm,2022-10,31,31,1
2023,haikou_region_proxy,precip_mm,2022-11,30,30,1
2023,haikou_region_proxy,precip_mm,2022-12,31,31,1
2023,haikou_region_proxy,precip_mm,2023-01,31,31,1
2023,haikou_region_proxy,precip_mm,2023-02,0,28,0
2023,haikou_region_proxy,precip_mm,2023-03,0,31,0
2023,haikou_region_proxy,precip_mm,2023-04,0,30,0
2023,haikou_region_proxy,precip_mm,2023-05,0,31,0
2023,haikou_region_proxy,precip_mm,2023-06,0,30,0
2023,lingshui_region_proxy,tmean_c,2022-08,0,31,0
2023,lingshui_region_proxy,tmean_c,2022-09,0,30,0
2023,lingshui_region_proxy,tmean_c,2022-10,30,31,0.9677419355
2023,lingshui_region_proxy,tmean_c,2022-11,30,30,1
2023,lingshui_region_proxy,tmean_c,2022-12,31,31,1
2023,lingshui_region_proxy,tmean_c,2023-01,0,31,0
2023,lingshui_region_proxy,tmean_c,2023-02,0,28,0
2023,lingshui_region_proxy,tmean_c,2023-03,0,31,0
2023,lingshui_region_proxy,tmean_c,2023-04,0,30,0
2023,lingshui_region_proxy,tmean_c,2023-05,0,31,0
2023,lingshui_region_proxy,tmean_c,2023-06,0,30,0
2023,lingshui_region_proxy,precip_mm,2022-08,0,31,0
2023,lingshui_region_proxy,precip_mm,2022-09,0,30,0
2023,lingshui_region_proxy,precip_mm,2022-10,30,31,0.9677419355
2023,lingshui_region_proxy,precip_mm,2022-11,30,30,1
2023,lingshui_region_proxy,precip_mm,2022-12,31,31,1
2023,lingshui_region_proxy,precip_mm,2023-01,31,31,1
2023,lingshui_region_proxy,precip_mm,2023-02,0,28,0
2023,lingshui_region_proxy,precip_mm,2023-03,0,31,0
2023,lingshui_region_proxy,precip_mm,2023-04,0,30,0
2023,lingshui_region_proxy,precip_mm,2023-05,0,31,0
2023,lingshui_region_proxy,precip_mm,2023-06,0,30,0
2024,haikou_region_proxy,tmean_c,2023-08,0,31,0
2024,haikou_region_proxy,tmean_c,2023-09,0,30,0
2024,haikou_region_proxy,tmean_c,2023-10,31,31,1
2024,haikou_region_proxy,tmean_c,2023-11,30,30,1
2024,haikou_region_proxy,tmean_c,2023-12,31,31,1
2024,haikou_region_proxy,tmean_c,2024-01,31,31,1
2024,haikou_region_proxy,tmean_c,2024-02,0,29,0
2024,haikou_region_proxy,tmean_c,2024-03,0,31,0
2024,haikou_region_proxy,tmean_c,2024-04,0,30,0
2024,haikou_region_proxy,tmean_c,2024-05,0,31,0
2024,haikou_region_proxy,tmean_c,2024-06,0,30,0
2024,haikou_region_proxy,precip_mm,2023-08,0,31,0
2024,haikou_region_proxy,precip_mm,2023-09,0,30,0
2024,haikou_region_proxy,precip_mm,2023-10,31,31,1
2024,haikou_region_proxy,precip_mm,2023-11,30,30,1
2024,haikou_region_proxy,precip_mm,2023-12,31,31,1
2024,haikou_region_proxy,precip_mm,2024-01,31,31,1
2024,haikou_region_proxy,precip_mm,2024-02,0,29,0
2024,haikou_region_proxy,precip_mm,2024-03,0,31,0
2024,haikou_region_proxy,precip_mm,2024-04,0,30,0
2024,haikou_region_proxy,precip_mm,2024-05,0,31,0
2024,haikou_region_proxy,precip_mm,2024-06,0,30,0
2024,lingshui_region_proxy,tmean_c,2023-08,0,31,0
2024,lingshui_region_proxy,tmean_c,2023-09,0,30,0
2024,lingshui_region_proxy,tmean_c,2023-10,31,31,1
2024,lingshui_region_proxy,tmean_c,2023-11,30,30,1
2024,lingshui_region_proxy,tmean_c,2023-12,31,31,1
2024,lingshui_region_proxy,tmean_c,2024-01,31,31,1
2024,lingshui_region_proxy,tmean_c,2024-02,0,29,0
2024,lingshui_region_proxy,tmean_c,2024-03,0,31,0
2024,lingshui_region_proxy,tmean_c,2024-04,0,30,0
2024,lingshui_region_proxy,tmean_c,2024-05,0,31,0
2024,lingshui_region_proxy,tmean_c,2024-06,0,30,0
2024,lingshui_region_proxy,precip_mm,2023-08,0,31,0
2024,lingshui_region_proxy,precip_mm,2023-09,0,30,0
2024,lingshui_region_proxy,precip_mm,2023-10,31,31,1
2024,lingshui_region_proxy,precip_mm,2023-11,30,30,1
2024,lingshui_region_proxy,precip_mm,2023-12,31,31,1
2024,lingshui_region_proxy,precip_mm,2024-01,31,31,1
2024,lingshui_region_proxy,precip_mm,2024-02,0,29,0
2024,lingshui_region_proxy,precip_mm,2024-03,0,31,0
2024,lingshui_region_proxy,precip_mm,2024-04,0,30,0
2024,lingshui_region_proxy,precip_mm,2024-05,0,31,0
2024,lingshui_region_proxy,precip_mm,2024-06,0,30,0
2025,haikou_region_proxy,tmean_c,2024-08,0,31,0
2025,haikou_region_proxy,tmean_c,2024-09,0,30,0
2025,haikou_region_proxy,tmean_c,2024-10,31,31,1
2025,haikou_region_proxy,tmean_c,2024-11,30,30,1
2025,haikou_region_proxy,tmean_c,2024-12,31,31,1
2025,haikou_region_proxy,tmean_c,2025-01,31,31,1
2025,haikou_region_proxy,tmean_c,2025-02,0,28,0
2025,haikou_region_proxy,tmean_c,2025-03,0,31,0
2025,haikou_region_proxy,tmean_c,2025-04,0,30,0
2025,haikou_region_proxy,tmean_c,2025-05,0,31,0
2025,haikou_region_proxy,tmean_c,2025-06,0,30,0
2025,haikou_region_proxy,precip_mm,2024-08,0,31,0
2025,haikou_region_proxy,precip_mm,2024-09,0,30,0
2025,haikou_region_proxy,precip_mm,2024-10,31,31,1
2025,haikou_region_proxy,precip_mm,2024-11,30,30,1
2025,haikou_region_proxy,precip_mm,2024-12,31,31,1
2025,haikou_region_proxy,precip_mm,2025-01,31,31,1
2025,haikou_region_proxy,precip_mm,2025-02,0,28,0
2025,haikou_region_proxy,precip_mm,2025-03,0,31,0
2025,haikou_region_proxy,precip_mm,2025-04,0,30,0
2025,haikou_region_proxy,precip_mm,2025-05,0,31,0
2025,haikou_region_proxy,precip_mm,2025-06,0,30,0
2025,lingshui_region_proxy,tmean_c,2024-08,0,31,0
2025,lingshui_region_proxy,tmean_c,2024-09,0,30,0
2025,lingshui_region_proxy,tmean_c,2024-10,31,31,1
2025,lingshui_region_proxy,tmean_c,2024-11,30,30,1
2025,lingshui_region_proxy,tmean_c,2024-12,31,31,1
2025,lingshui_region_proxy,tmean_c,2025-01,31,31,1
2025,lingshui_region_proxy,tmean_c,2025-02,0,28,0
2025,lingshui_region_proxy,tmean_c,2025-03,0,31,0
2025,lingshui_region_proxy,tmean_c,2025-04,0,30,0
2025,lingshui_region_proxy,tmean_c,2025-05,0,31,0
2025,lingshui_region_proxy,tmean_c,2025-06,0,30,0
2025,lingshui_region_proxy,precip_mm,2024-08,0,31,0
2025,lingshui_region_proxy,precip_mm,2024-09,0,30,0
2025,lingshui_region_proxy,precip_mm,2024-10,31,31,1
2025,lingshui_region_proxy,precip_mm,2024-11,30,30,1
2025,lingshui_region_proxy,precip_mm,2024-12,31,31,1
2025,lingshui_region_proxy,precip_mm,2025-01,31,31,1
2025,lingshui_region_proxy,precip_mm,2025-02,0,28,0
2025,lingshui_region_proxy,precip_mm,2025-03,0,31,0
2025,lingshui_region_proxy,precip_mm,2025-04,0,30,0
2025,lingshui_region_proxy,precip_mm,2025-05,0,31,0
2025,lingshui_region_proxy,precip_mm,2025-06,0,30,0
2026,haikou_region_proxy,tmean_c,2025-08,0,31,0
2026,haikou_region_proxy,tmean_c,2025-09,0,30,0
2026,haikou_region_proxy,tmean_c,2025-10,31,31,1
2026,haikou_region_proxy,tmean_c,2025-11,30,30,1
2026,haikou_region_proxy,tmean_c,2025-12,31,31,1
2026,haikou_region_proxy,tmean_c,2026-01,31,31,1
2026,haikou_region_proxy,tmean_c,2026-02,0,28,0
2026,haikou_region_proxy,tmean_c,2026-03,0,31,0
2026,haikou_region_proxy,tmean_c,2026-04,0,30,0
2026,haikou_region_proxy,tmean_c,2026-05,0,31,0
2026,haikou_region_proxy,tmean_c,2026-06,0,30,0
2026,haikou_region_proxy,precip_mm,2025-08,0,31,0
2026,haikou_region_proxy,precip_mm,2025-09,0,30,0
2026,haikou_region_proxy,precip_mm,2025-10,31,31,1
2026,haikou_region_proxy,precip_mm,2025-11,30,30,1
2026,haikou_region_proxy,precip_mm,2025-12,31,31,1
2026,haikou_region_proxy,precip_mm,2026-01,31,31,1
2026,haikou_region_proxy,precip_mm,2026-02,0,28,0
2026,haikou_region_proxy,precip_mm,2026-03,0,31,0
2026,haikou_region_proxy,precip_mm,2026-04,0,30,0
2026,haikou_region_proxy,precip_mm,2026-05,0,31,0
2026,haikou_region_proxy,precip_mm,2026-06,0,30,0
2026,lingshui_region_proxy,tmean_c,2025-08,0,31,0
2026,lingshui_region_proxy,tmean_c,2025-09,0,30,0
2026,lingshui_region_proxy,tmean_c,2025-10,31,31,1
2026,lingshui_region_proxy,tmean_c,2025-11,30,30,1
2026,lingshui_region_proxy,tmean_c,2025-12,31,31,1
2026,lingshui_region_proxy,tmean_c,2026-01,31,31,1
2026,lingshui_region_proxy,tmean_c,2026-02,0,28,0
2026,lingshui_region_proxy,tmean_c,2026-03,0,31,0
2026,lingshui_region_proxy,tmean_c,2026-04,0,30,0
2026,lingshui_region_proxy,tmean_c,2026-05,0,31,0
2026,lingshui_region_proxy,tmean_c,2026-06,0,30,0
2026,lingshui_region_proxy,precip_mm,2025-08,0,31,0
2026,lingshui_region_proxy,precip_mm,2025-09,0,30,0
2026,lingshui_region_proxy,precip_mm,2025-10,31,31,1
2026,lingshui_region_proxy,precip_mm,2025-11,30,30,1
2026,lingshui_region_proxy,precip_mm,2025-12,31,31,1
2026,lingshui_region_proxy,precip_mm,2026-01,31,31,1
2026,lingshui_region_proxy,precip_mm,2026-02,0,28,0
2026,lingshui_region_proxy,precip_mm,2026-03,0,31,0
2026,lingshui_region_proxy,precip_mm,2026-04,0,30,0
2026,lingshui_region_proxy,precip_mm,2026-05,0,31,0
2026,lingshui_region_proxy,precip_mm,2026-06,0,30,0
