season_id,orchard_id,harvest_year,station_id,window_name,start_event,end_event,window_start,window_end,boundaries_valid,expected_days,observed_days,date_coverage_ratio,feature_status,tmean_c_coverage_ratio,tmean_c_mean,tmin_c_coverage_ratio,tmin_c_mean,tmax_c_coverage_ratio,tmax_c_mean,precip_mm_coverage_ratio,precip_mm_mean,relative_humidity_pct_coverage_ratio,relative_humidity_pct_mean,sunshine_h_coverage_ratio,sunshine_h_mean,wind_speed_coverage_ratio,wind_speed_mean,precip_mm_sum
hongming_2024,hongming,2024,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2024-01-25,2024-03-10,1,46,7,0.152173913,blocked_missing_weather,0.152173913,NA,0.152173913,NA,0.152173913,NA,0.152173913,NA,0.152173913,NA,0.152173913,NA,0,NA,NA
hongming_2024,hongming,2024,haikou_region_proxy,flowering,full_bloom,end_bloom,2024-03-10,2024-03-20,1,11,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2024,hongming,2024,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2024-03-20,2024-04-10,1,22,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2024,hongming,2024,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2024-04-10,2024-05-12,1,33,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2025,hongming,2025,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2024-09-20,2025-01-25,1,128,117,0.9140625,blocked_missing_weather,0.9140625,NA,0.9140625,NA,0.9140625,NA,0.9140625,NA,0.9140625,NA,0.90625,NA,0,NA,NA
hongming_2025,hongming,2025,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2025-01-25,2025-03-10,1,45,7,0.1555555556,blocked_missing_weather,0.1555555556,NA,0.1555555556,NA,0.1555555556,NA,0.1555555556,NA,0.1555555556,NA,0.1555555556,NA,0,NA,NA
hongming_2025,hongming,2025,haikou_region_proxy,flowering,full_bloom,end_bloom,2025-03-10,2025-03-20,1,11,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2025,hongming,2025,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2025-03-20,2025-04-10,1,22,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2025,hongming,2025,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,2025-04-10,2025-05-25,1,46,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
hongming_2026,hongming,2026,haikou_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongming_2026,hongming,2026,haikou_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongming_2026,hongming,2026,haikou_region_proxy,flowering,full_bloom,end_bloom,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongming_2026,hongming,2026,haikou_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongming_2026,hongming,2026,haikou_region_proxy,fruit_growth,fruit_drop_2,maturity,NA,NA,0,NA,NA,NA,blocked_missing_or_reversed_dates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luhong_2022,luhong,2022,lingshui_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2021-08-28,2022-01-03,1,129,95,0.7364341085,blocked_missing_weather,0.7364341085,NA,0.7364341085,NA,0.7364341085,NA,0.7209302326,NA,0.7364341085,NA,0.7131782946,NA,0,NA,NA
luhong_2022,luhong,2022,lingshui_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2022-01-03,2022-02-15,1,44,29,0.6590909091,blocked_missing_weather,0.6590909091,NA,0.6590909091,NA,0.6590909091,NA,0.6590909091,NA,0.6590909091,NA,0,NA,0,NA,NA
luhong_2022,luhong,2022,lingshui_region_proxy,flowering,full_bloom,end_bloom,2022-02-15,2022-02-25,1,11,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2022,luhong,2022,lingshui_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2022-02-25,2022-03-10,1,14,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2022,luhong,2022,lingshui_region_proxy,fruit_growth,fruit_drop_2,maturity,2022-03-10,2022-04-25,1,47,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2023,luhong,2023,lingshui_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2022-08-28,2023-01-03,1,129,95,0.7364341085,blocked_missing_weather,0.7054263566,NA,0.7054263566,NA,0.7054263566,NA,0.7286821705,NA,0.7286821705,NA,0.7131782946,NA,0,NA,NA
luhong_2023,luhong,2023,lingshui_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2023-01-03,2023-02-15,1,44,29,0.6590909091,blocked_missing_weather,0,NA,0,NA,0,NA,0.6590909091,NA,0.6590909091,NA,0,NA,0,NA,NA
luhong_2023,luhong,2023,lingshui_region_proxy,flowering,full_bloom,end_bloom,2023-02-15,2023-02-25,1,11,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2023,luhong,2023,lingshui_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2023-02-25,2023-03-10,1,14,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2023,luhong,2023,lingshui_region_proxy,fruit_growth,fruit_drop_2,maturity,2023-03-10,2023-05-05,1,57,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2024,luhong,2024,lingshui_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2023-09-05,2024-01-16,1,134,108,0.8059701493,blocked_missing_weather,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0,NA,NA
luhong_2024,luhong,2024,lingshui_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2024-01-16,2024-02-15,1,31,16,0.5161290323,blocked_missing_weather,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0,NA,NA
luhong_2024,luhong,2024,lingshui_region_proxy,flowering,full_bloom,end_bloom,2024-02-15,2024-03-10,1,25,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2024,luhong,2024,lingshui_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2024-03-10,2024-04-07,1,29,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2024,luhong,2024,lingshui_region_proxy,fruit_growth,fruit_drop_2,maturity,2024-04-07,2024-05-05,1,29,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2025,luhong,2025,lingshui_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2024-09-05,2025-01-16,1,134,108,0.8059701493,blocked_missing_weather,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0.8059701493,NA,0,NA,NA
luhong_2025,luhong,2025,lingshui_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2025-01-16,2025-02-15,1,31,16,0.5161290323,blocked_missing_weather,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0.5161290323,NA,0,NA,NA
luhong_2025,luhong,2025,lingshui_region_proxy,flowering,full_bloom,end_bloom,2025-02-15,2025-03-10,1,24,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2025,luhong,2025,lingshui_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2025-03-10,2025-04-07,1,29,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2025,luhong,2025,lingshui_region_proxy,fruit_growth,fruit_drop_2,maturity,2025-04-07,2025-05-05,1,29,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2026,luhong,2026,lingshui_region_proxy,induction,autumn_flush_mature,inflorescence_emergence,2025-08-25,2026-01-01,1,130,93,0.7153846154,blocked_missing_weather,0.7153846154,NA,0.7153846154,NA,0.7153846154,NA,0.7153846154,NA,0.7153846154,NA,0.6538461538,NA,0,NA,NA
luhong_2026,luhong,2026,lingshui_region_proxy,pre_bloom,inflorescence_emergence,full_bloom,2026-01-01,2026-02-15,1,46,31,0.6739130435,blocked_missing_weather,0.6739130435,NA,0.6739130435,NA,0.6739130435,NA,0.6739130435,NA,0.6739130435,NA,0.6739130435,NA,0,NA,NA
luhong_2026,luhong,2026,lingshui_region_proxy,flowering,full_bloom,end_bloom,2026-02-15,2026-03-15,1,29,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2026,luhong,2026,lingshui_region_proxy,fruit_set_drop,end_bloom,fruit_drop_2,2026-03-15,2026-04-10,1,27,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
luhong_2026,luhong,2026,lingshui_region_proxy,fruit_growth,fruit_drop_2,maturity,2026-04-10,2026-05-10,1,31,0,0,blocked_missing_weather,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
