season_id,orchard_id,harvest_year,task,start_date,end_date,duration_days,phenology_main_eligible,complete_pair
luhong_2023,luhong,2023,P1,2022-08-28,2023-01-03,128,1,True
luhong_2023,luhong,2023,P2,2023-01-03,2023-02-15,43,1,True
luhong_2023,luhong,2023,P3,2023-02-15,2023-05-05,79,1,True
luhong_2023,luhong,2023,P1A,2022-08-28,2022-12-15,109,1,True
luhong_2023,luhong,2023,P1B,2022-12-15,2023-01-03,19,1,True
luhong_2024,luhong,2024,P1,2023-09-05,2024-01-16,133,1,True
luhong_2024,luhong,2024,P2,2024-01-16,2024-02-15,30,1,True
luhong_2024,luhong,2024,P3,2024-02-15,2024-05-05,80,1,True
luhong_2024,luhong,2024,P1A,2023-09-05,2024-01-08,125,1,True
luhong_2024,luhong,2024,P1B,2024-01-08,2024-01-16,8,1,True
luhong_2025,luhong,2025,P1,2024-09-05,2025-01-16,133,1,True
luhong_2025,luhong,2025,P2,2025-01-16,2025-02-15,30,1,True
luhong_2025,luhong,2025,P3,2025-02-15,2025-05-05,79,1,True
luhong_2025,luhong,2025,P1A,2024-09-05,2024-12-28,114,1,True
luhong_2025,luhong,2025,P1B,2024-12-28,2025-01-16,19,1,True
luhong_2026,luhong,2026,P1,2025-08-25,2026-01-01,129,1,True
luhong_2026,luhong,2026,P2,2026-01-01,2026-02-15,45,1,True
luhong_2026,luhong,2026,P3,2026-02-15,2026-05-10,84,1,True
luhong_2026,luhong,2026,P1A,2025-08-25,2025-12-28,125,1,True
luhong_2026,luhong,2026,P1B,2025-12-28,2026-01-01,4,1,True
