context,model_id,season_id,role,partition_training_years,boundary_training_years,metric_training_years,chain_trace,feature_status
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,bannei_2023,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,bannei_2024,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,bannei_2026,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,hongming_2023,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,hongming_2024,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,luhong_2023,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,luhong_2024,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,luhong_2026,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2025,Y-W1C,luhong_2025,evaluation,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,bannei_2023,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,bannei_2024,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,hongming_2023,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,hongming_2024,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,luhong_2023,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,luhong_2024,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,luhong_2025,training,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,bannei_2026,evaluation,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2022_inner_2026,Y-W1C,luhong_2026,evaluation,2023;2024;2025,2023;2024;2025,2023;2024;2025,[],complete
MAIN_LOYO_outer_2023,Y-W1C,bannei_2022,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,bannei_2024,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,bannei_2026,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,hongming_2022,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,hongming_2024,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,luhong_2022,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,luhong_2024,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,luhong_2025,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,luhong_2026,training,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,bannei_2023,evaluation,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,hongming_2023,evaluation,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023,Y-W1C,luhong_2023,evaluation,2022;2024;2025;2026,2022;2024;2025;2026,2022;2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,bannei_2024,training,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,bannei_2026,training,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,hongming_2024,training,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,luhong_2024,training,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,luhong_2025,training,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,luhong_2026,training,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,bannei_2022,evaluation,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,hongming_2022,evaluation,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2022,Y-W1C,luhong_2022,evaluation,2024;2025;2026,2024;2025;2026,2024;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,bannei_2022,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,bannei_2026,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,hongming_2022,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,luhong_2022,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,luhong_2025,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,luhong_2026,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,bannei_2024,evaluation,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,hongming_2024,evaluation,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2024,Y-W1C,luhong_2024,evaluation,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,bannei_2022,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,bannei_2024,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,bannei_2026,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,hongming_2022,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,hongming_2024,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,luhong_2022,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,luhong_2024,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,luhong_2026,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2025,Y-W1C,luhong_2025,evaluation,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,bannei_2022,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,bannei_2024,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,hongming_2022,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,hongming_2024,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,luhong_2022,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,luhong_2024,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,luhong_2025,training,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,bannei_2026,evaluation,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2023_inner_2026,Y-W1C,luhong_2026,evaluation,2022;2024;2025,2022;2024;2025,2022;2024;2025,[],complete
MAIN_LOYO_outer_2024,Y-W1C,bannei_2022,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,bannei_2023,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,bannei_2026,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,hongming_2022,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,hongming_2023,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,luhong_2022,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,luhong_2023,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,luhong_2025,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,luhong_2026,training,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,bannei_2024,evaluation,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,hongming_2024,evaluation,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024,Y-W1C,luhong_2024,evaluation,2022;2023;2025;2026,2022;2023;2025;2026,2022;2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,bannei_2023,training,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,bannei_2026,training,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,hongming_2023,training,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,luhong_2023,training,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,luhong_2025,training,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,luhong_2026,training,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,bannei_2022,evaluation,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,hongming_2022,evaluation,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2022,Y-W1C,luhong_2022,evaluation,2023;2025;2026,2023;2025;2026,2023;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,bannei_2022,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,bannei_2026,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,hongming_2022,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,luhong_2022,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,luhong_2025,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,luhong_2026,training,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,bannei_2023,evaluation,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,hongming_2023,evaluation,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2023,Y-W1C,luhong_2023,evaluation,2022;2025;2026,2022;2025;2026,2022;2025;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,bannei_2022,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,bannei_2023,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,bannei_2026,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,hongming_2022,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,hongming_2023,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,luhong_2022,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,luhong_2023,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,luhong_2026,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2025,Y-W1C,luhong_2025,evaluation,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,bannei_2022,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,bannei_2023,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,hongming_2022,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,hongming_2023,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,luhong_2022,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,luhong_2023,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,luhong_2025,training,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,bannei_2026,evaluation,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2024_inner_2026,Y-W1C,luhong_2026,evaluation,2022;2023;2025,2022;2023;2025,2022;2023;2025,[],complete
MAIN_LOYO_outer_2025,Y-W1C,bannei_2022,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,bannei_2023,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,bannei_2024,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,bannei_2026,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,hongming_2022,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,hongming_2023,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,hongming_2024,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,luhong_2022,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,luhong_2023,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,luhong_2024,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,luhong_2026,training,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025,Y-W1C,luhong_2025,evaluation,2022;2023;2024;2026,2022;2023;2024;2026,2022;2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,bannei_2023,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,bannei_2024,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,bannei_2026,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,hongming_2023,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,hongming_2024,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,luhong_2023,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,luhong_2024,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,luhong_2026,training,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,bannei_2022,evaluation,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,hongming_2022,evaluation,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2022,Y-W1C,luhong_2022,evaluation,2023;2024;2026,2023;2024;2026,2023;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,bannei_2022,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,bannei_2024,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,bannei_2026,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,hongming_2022,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,hongming_2024,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,luhong_2022,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,luhong_2024,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,luhong_2026,training,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,bannei_2023,evaluation,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,hongming_2023,evaluation,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2023,Y-W1C,luhong_2023,evaluation,2022;2024;2026,2022;2024;2026,2022;2024;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,bannei_2022,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,bannei_2023,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,bannei_2026,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,hongming_2022,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,hongming_2023,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,luhong_2022,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,luhong_2023,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,luhong_2026,training,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,bannei_2024,evaluation,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,hongming_2024,evaluation,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2024,Y-W1C,luhong_2024,evaluation,2022;2023;2026,2022;2023;2026,2022;2023;2026,[],complete
MAIN_LOYO_outer_2025_inner_2026,Y-W1C,bannei_2022,training,2022;2023;2024,2022;2023;2024,2022;2023;2024,[],complete
MAIN_LOYO_outer_2025_inner_2026,Y-W1C,bannei_2023,training,2022;2023;2024,2022;2023;2024,2022;2023;2024,[],complete
MAIN_LOYO_outer_2025_inner_2026,Y-W1C,bannei_2024,training,2022;2023;2024,2022;2023;2024,2022;2023;2024,[],complete
MAIN_LOYO_outer_2025_inner_2026,Y-W1C,hongming_2022,training,2022;2023;2024,2022;2023;2024,2022;2023;2024,[],complete
MAIN_LOYO_outer_2025_inner_2026,Y-W1C,hongming_2023,training,2022;2023;2024,2022;2023;2024,2022;2023;2024,[],complete
